2024-07-31,13:33:38.963.0,INFO,__main__,adjust_metadata.adjust_metadata:34,C:\Users\nedlecky\ACDSee\01Personal\2024  3 dirs  373 files
2024-07-31,13:33:38.963.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=2024 max_year=2024
2024-07-31,13:33:39.33.0,INFO,__main__,adjust_metadata.adjust_metadata:32,C:\Users\nedlecky\ACDSee\01Personal\2024\04Eclipse  8 files
2024-07-31,13:33:39.33.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=2024 max_year=2024
2024-07-31,13:33:39.38.0,INFO,__main__,adjust_metadata.adjust_metadata:32,C:\Users\nedlecky\ACDSee\01Personal\2024\06France  2031 files
2024-07-31,13:33:39.38.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=2024 max_year=2024
2024-07-31,13:33:39.167.0,INFO,__main__,adjust_metadata.adjust_metadata:32,C:\Users\nedlecky\ACDSee\01Personal\2024\DadPasswords  9 files
2024-07-31,13:33:39.167.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=2024 max_year=2024
2024-07-31,13:33:39.172.0,INFO,__main__,adjust_metadata.adjust_metadata:34,C:\Users\nedlecky\ACDSee\02Work  13 dirs  0 files
2024-07-31,13:33:39.172.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=1900 max_year=2100
2024-07-31,13:33:39.177.0,INFO,__main__,adjust_metadata.adjust_metadata:32,C:\Users\nedlecky\ACDSee\02Work\1980-1989  121 files
2024-07-31,13:33:39.177.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=1980 max_year=1989
2024-07-31,13:33:39.181.0,INFO,__main__,adjust_metadata.adjust_metadata:32,C:\Users\nedlecky\ACDSee\02Work\1990-1999  123 files
2024-07-31,13:33:39.182.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=1990 max_year=1999
2024-07-31,13:33:39.183.0,INFO,__main__,adjust_metadata.adjust_metadata:32,C:\Users\nedlecky\ACDSee\02Work\1999-2002UVM  278 files
2024-07-31,13:33:39.183.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=1999 max_year=2002
2024-07-31,13:33:39.185.0,INFO,__main__,adjust_metadata.adjust_metadata:34,C:\Users\nedlecky\ACDSee\02Work\2003-2004MTIMicroFuelCells  1 dirs  91 files
2024-07-31,13:33:39.185.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=2003 max_year=2004
2024-07-31,13:33:39.186.0,INFO,__main__,adjust_metadata.adjust_metadata:32,C:\Users\nedlecky\ACDSee\02Work\2003-2004MTIMicroFuelCells\[Originals]  1 files
2024-07-31,13:33:39.186.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=2003 max_year=2004
2024-07-31,13:33:39.187.0,INFO,__main__,adjust_metadata.adjust_metadata:34,C:\Users\nedlecky\ACDSee\02Work\2004-2005Simmons  2 dirs  409 files
2024-07-31,13:33:39.188.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=2004 max_year=2005
2024-07-31,13:33:39.190.0,INFO,__main__,adjust_metadata.adjust_metadata:32,C:\Users\nedlecky\ACDSee\02Work\2004-2005Simmons\04Baotou  281 files
2024-07-31,13:33:39.190.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=2004 max_year=2005
2024-07-31,13:33:39.196.0,INFO,__main__,adjust_metadata.adjust_metadata:32,C:\Users\nedlecky\ACDSee\02Work\2004-2005Simmons\05Baotou  106 files
2024-07-31,13:33:39.196.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=2004 max_year=2005
2024-07-31,13:33:39.199.0,INFO,__main__,adjust_metadata.adjust_metadata:32,C:\Users\nedlecky\ACDSee\02Work\2006-2012LeckyIntegration  855 files
2024-07-31,13:33:39.199.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=2006 max_year=2012
2024-07-31,13:33:39.204.0,INFO,__main__,adjust_metadata.adjust_metadata:32,C:\Users\nedlecky\ACDSee\02Work\2013Amazon  1137 files
2024-07-31,13:33:39.205.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=2013 max_year=2013
2024-07-31,13:33:39.213.0,INFO,__main__,adjust_metadata.adjust_metadata:32,C:\Users\nedlecky\ACDSee\02Work\2014Amazon  1763 files
2024-07-31,13:33:39.213.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=2014 max_year=2014
